id,name,kind,sboTerm,dcid
group1,Acyl-CoA hydrolysis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/acyl-coa_hydrolysis
group2,Acylglycerides metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/acylglycerides_metabolism
group3,"Alanine, aspartate and glutamate metabolism",dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/alanine__aspartate_and_glutamate_metabolism
group4,Alkaloids biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/alkaloids_biosynthesis
group5,Amino sugar and nucleotide sugar metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/amino_sugar_and_nucleotide_sugar_metabolism
group6,Aminoacyl-tRNA biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/aminoacyl-trna_biosynthesis
group7,Androgen metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/androgen_metabolism
group8,Arachidonic acid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/arachidonic_acid_metabolism
group9,Arginine and proline metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/arginine_and_proline_metabolism
group10,Artificial reactions,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/artificial_reactions
group11,Ascorbate and aldarate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/ascorbate_and_aldarate_metabolism
group12,Beta oxidation of branched-chain fatty acids (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_branched-chain_fatty_acids_(mitochondrial)
group13,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_di-unsaturated_fatty_acids_(n-6)_(mitochondrial)
group14,Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_di-unsaturated_fatty_acids_(n-6)_(peroxisomal)
group15,Beta oxidation of even-chain fatty acids (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_even-chain_fatty_acids_(mitochondrial)
group16,Beta oxidation of even-chain fatty acids (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_even-chain_fatty_acids_(peroxisomal)
group17,Beta oxidation of odd-chain fatty acids (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_odd-chain_fatty_acids_(mitochondrial)
group18,Beta oxidation of odd-chain fatty acids (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_odd-chain_fatty_acids_(peroxisomal)
group19,Beta oxidation of phytanic acid (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_phytanic_acid_(peroxisomal)
group20,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_poly-unsaturated_fatty_acids_(mitochondrial)
group21,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_unsaturated_fatty_acids_(n-7)_(mitochondrial)
group22,Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_unsaturated_fatty_acids_(n-7)_(peroxisomal)
group23,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_unsaturated_fatty_acids_(n-9)_(mitochondrial)
group24,Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta_oxidation_of_unsaturated_fatty_acids_(n-9)_(peroxisomal)
group25,Beta-alanine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/beta-alanine_metabolism
group26,Bile acid biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/bile_acid_biosynthesis
group27,Bile acid recycling,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/bile_acid_recycling
group28,Biopterin metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/biopterin_metabolism
group29,Biotin metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/biotin_metabolism
group30,Blood group biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/blood_group_biosynthesis
group31,Butanoate metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/butanoate_metabolism
group32,C5-branched dibasic acid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/c5-branched_dibasic_acid_metabolism
group33,Carnitine shuttle (cytosolic),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/carnitine_shuttle_(cytosolic)
group34,Carnitine shuttle (endoplasmic reticular),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/carnitine_shuttle_(endoplasmic_reticular)
group35,Carnitine shuttle (mitochondrial),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/carnitine_shuttle_(mitochondrial)
group36,Carnitine shuttle (peroxisomal),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/carnitine_shuttle_(peroxisomal)
group37,Cholesterol biosynthesis 1 (Bloch pathway) ,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/cholesterol_biosynthesis_1_(bloch_pathway)_
group38,Cholesterol biosynthesis 2,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/cholesterol_biosynthesis_2
group39,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/cholesterol_biosynthesis_3_(kandustch-russell_pathway)
group40,Cholesterol metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/cholesterol_metabolism
group41,Chondroitin / heparan sulfate biosynthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/chondroitin_/_heparan_sulfate_biosynthesis
group42,Chondroitin sulfate degradation,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/chondroitin_sulfate_degradation
group43,CoA catabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/coa_catabolism
group44,CoA synthesis,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/coa_synthesis
group45,Cysteine and methionine metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/cysteine_and_methionine_metabolism
group46,Dietary fiber binding,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/dietary_fiber_binding
group47,Drug metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/drug_metabolism
group48,Eicosanoid metabolism,dcs:HierachyTypePartonomy,"""SBO:0000633""",bio/eicosanoid_metabolism
